epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,227.594,0.98475,0.85877,1.15097,0.5377,0.29793,0.30036,0.09529,2.88433,2.99739,2.7964,0.00111574,0.00111574,0.00111574
64,230.994,1.04786,0.91277,1.15734,0.33914,0.37321,0.2933,0.10193,2.80688,2.94677,2.72056,0.00111069,0.00111069,0.00111069
65,234.364,1.0229,0.80231,1.15221,0.4449,0.44546,0.41733,0.15731,2.68525,2.36664,2.52558,0.00110564,0.00110564,0.00110564
66,237.742,0.91176,0.74227,1.10356,0.50245,0.42105,0.42351,0.1485,2.82158,2.12818,2.58746,0.00110059,0.00110059,0.00110059
67,241.117,0.98074,0.77047,1.10234,0.69757,0.26475,0.32559,0.12618,2.75772,2.51461,2.65481,0.00109553,0.00109553,0.00109553
68,244.488,0.99361,0.80076,1.14637,0.53723,0.19936,0.24162,0.08523,2.89663,3.22929,2.86775,0.00109048,0.00109048,0.00109048
69,247.931,0.9862,0.75315,1.12057,0.45248,0.29506,0.31145,0.1416,2.73201,2.38164,2.58346,0.00108543,0.00108543,0.00108543
70,251.301,0.95577,0.76448,1.11768,0.44318,0.43233,0.40995,0.15799,2.59464,2.20551,2.46718,0.00108038,0.00108038,0.00108038
71,254.669,0.90035,0.69889,1.09212,0.33346,0.4606,0.36376,0.13919,2.76052,2.44977,2.68448,0.00107532,0.00107532,0.00107532
72,258.033,0.94504,0.73036,1.12812,0.36122,0.1866,0.17855,0.06187,2.96799,3.45819,2.87805,0.00107027,0.00107027,0.00107027
73,261.391,0.84714,0.66043,1.057,0.19963,0.19139,0.1747,0.06755,2.95476,3.75776,2.90623,0.00106522,0.00106522,0.00106522
74,264.768,0.89171,0.72397,1.0862,0.44236,0.30781,0.31508,0.12413,2.78141,2.61425,2.55151,0.00106016,0.00106016,0.00106016
75,268.138,0.88106,0.72549,1.10504,0.30941,0.38596,0.29134,0.11583,2.72241,2.4163,2.49688,0.00105511,0.00105511,0.00105511
76,271.559,0.91287,0.64982,1.07136,0.40892,0.32231,0.30692,0.12109,2.90323,2.66072,2.68765,0.00105006,0.00105006,0.00105006
77,274.939,0.87854,0.72185,1.07929,0.44962,0.43648,0.36867,0.14583,2.88457,2.64571,2.70834,0.00104501,0.00104501,0.00104501
78,278.354,0.91006,0.72084,1.08114,0.38594,0.38527,0.36241,0.14158,2.78353,2.66175,2.53147,0.00103995,0.00103995,0.00103995
79,281.719,0.84819,0.66243,1.06865,0.56249,0.41627,0.42123,0.16864,2.63544,2.31746,2.48033,0.0010349,0.0010349,0.0010349
80,285.114,0.91572,0.71355,1.10025,0.56317,0.41627,0.44281,0.20519,2.43854,2.11488,2.35464,0.00102985,0.00102985,0.00102985
81,288.55,0.86031,0.63689,1.06361,0.52014,0.47298,0.44911,0.19217,2.6428,2.27452,2.49886,0.0010248,0.0010248,0.0010248
82,291.915,0.85827,0.66665,1.06113,0.45054,0.38922,0.35386,0.15873,2.74897,2.30235,2.62766,0.00101974,0.00101974,0.00101974
83,295.257,0.85024,0.65215,1.07443,0.45279,0.40829,0.38576,0.16999,2.73435,2.31797,2.46943,0.00101469,0.00101469,0.00101469
84,298.639,0.9369,0.71737,1.11888,0.54977,0.35511,0.38361,0.1821,2.57322,2.40613,2.3603,0.00100964,0.00100964,0.00100964
85,302.028,0.91434,0.71939,1.09195,0.50272,0.43381,0.41145,0.21606,2.41467,2.33404,2.28568,0.00100459,0.00100459,0.00100459
86,305.472,0.88703,0.69554,1.08664,0.54051,0.34085,0.35226,0.17071,2.5699,2.38293,2.48802,0.000999534,0.000999534,0.000999534
87,308.888,0.84242,0.69535,1.05619,0.60914,0.29506,0.34831,0.1722,2.53108,2.40514,2.41754,0.000994482,0.000994482,0.000994482
88,312.286,0.90903,0.70419,1.09517,0.77475,0.36021,0.45746,0.20369,2.54425,2.23446,2.47706,0.000989429,0.000989429,0.000989429
89,315.642,0.91423,0.70896,1.07914,0.65834,0.37321,0.40975,0.17664,2.41523,2.32748,2.37257,0.000984377,0.000984377,0.000984377
90,318.984,0.95435,0.79484,1.11954,0.68998,0.3429,0.40104,0.17166,2.55962,2.25756,2.4018,0.000979324,0.000979324,0.000979324
91,322.333,0.87352,0.7197,1.06757,0.77956,0.37321,0.4966,0.21734,2.45911,2.00945,2.36066,0.000974272,0.000974272,0.000974272
92,325.791,0.8854,0.71146,1.06204,0.79398,0.3429,0.46555,0.25322,2.43722,1.91773,2.34525,0.000969219,0.000969219,0.000969219
93,329.253,0.91658,0.65778,1.09851,0.85234,0.40259,0.48297,0.25621,2.40831,1.88523,2.2496,0.000964167,0.000964167,0.000964167
94,332.717,0.88827,0.68986,1.06597,0.83424,0.42596,0.49222,0.25411,2.28207,2.04903,2.1374,0.000959114,0.000959114,0.000959114
95,336.065,0.83743,0.6597,1.05226,0.82221,0.44657,0.50925,0.23644,2.29696,2.0226,2.2287,0.000954062,0.000954062,0.000954062
96,339.476,0.8872,0.63297,1.06524,0.49598,0.4992,0.44998,0.22377,2.30337,2.18578,2.18508,0.000949009,0.000949009,0.000949009
97,342.898,0.82,0.62675,1.05001,0.56367,0.51372,0.50576,0.23371,2.24364,1.95481,2.00457,0.000943957,0.000943957,0.000943957
98,346.263,0.85648,0.64012,1.07901,0.58869,0.57649,0.54309,0.24374,2.31927,2.04018,2.10912,0.000938904,0.000938904,0.000938904
99,349.63,0.89562,0.67327,1.07917,0.61089,0.54705,0.50949,0.23185,2.26459,1.98269,2.04495,0.000933851,0.000933851,0.000933851
100,353.018,0.8427,0.63173,1.0453,0.64824,0.53429,0.52963,0.23513,2.22451,1.86701,2.05851,0.000928799,0.000928799,0.000928799
101,356.406,0.7899,0.63623,1.02292,0.48722,0.53786,0.48928,0.22818,2.32565,1.93781,2.17891,0.000923746,0.000923746,0.000923746
102,359.77,0.84544,0.67331,1.07123,0.42036,0.58214,0.46051,0.22291,2.39061,2.02351,2.30747,0.000918694,0.000918694,0.000918694
103,363.129,0.82077,0.62471,1.05038,0.44458,0.41617,0.40903,0.18993,2.53768,2.08341,2.36038,0.000913641,0.000913641,0.000913641
104,366.503,0.82912,0.59573,1.05296,0.53938,0.36918,0.40438,0.1581,2.61666,2.17689,2.46702,0.000908589,0.000908589,0.000908589
105,369.871,0.87152,0.65735,1.09418,0.70626,0.33812,0.41975,0.15737,2.69818,2.47996,2.66544,0.000903536,0.000903536,0.000903536
106,373.296,0.84679,0.58431,1.04124,0.37582,0.37321,0.32069,0.1412,2.66,2.37364,2.65719,0.000898484,0.000898484,0.000898484
107,376.645,0.83055,0.64607,1.0683,0.38568,0.30781,0.28212,0.11748,2.89677,2.4996,2.92122,0.000893431,0.000893431,0.000893431
108,380.027,0.76615,0.58721,1.01735,0.36648,0.40847,0.29655,0.12275,2.72863,2.65838,2.63386,0.000888379,0.000888379,0.000888379
109,383.399,0.82393,0.64991,1.04349,0.43189,0.37799,0.32012,0.14788,2.7101,2.52654,2.50496,0.000883326,0.000883326,0.000883326
