epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,349.354,0.7274,0.59919,0.999,0.48519,0.42584,0.40606,0.17732,2.45729,2.0518,2.30973,0.000557539,0.000557539,0.000557539
156,351.502,0.69766,0.5457,0.98237,0.56874,0.40032,0.40413,0.17659,2.38276,2.04516,2.31148,0.00055188,0.00055188,0.00055188
157,353.671,0.65111,0.52878,0.95778,0.70813,0.32927,0.39695,0.1459,2.51044,2.13449,2.44707,0.000546221,0.000546221,0.000546221
158,355.796,0.68872,0.5729,0.97705,0.49538,0.41308,0.40298,0.16161,2.60701,2.0057,2.5204,0.000540562,0.000540562,0.000540562
159,357.958,0.70282,0.55743,0.97332,0.58973,0.5004,0.51374,0.19894,2.52817,1.77192,2.39424,0.000534903,0.000534903,0.000534903
160,360.108,0.65357,0.52823,0.9544,0.57468,0.43706,0.41977,0.16787,2.50235,1.85543,2.4082,0.000529244,0.000529244,0.000529244
161,362.253,0.72048,0.54495,0.99558,0.68076,0.41563,0.43274,0.16457,2.53967,1.93933,2.44589,0.000523586,0.000523586,0.000523586
162,364.355,0.70111,0.54221,0.98636,0.58276,0.46707,0.4497,0.17374,2.40669,1.92948,2.30981,0.000517927,0.000517927,0.000517927
163,366.614,0.68493,0.54348,0.98071,0.77791,0.35566,0.41862,0.18465,2.39062,2.12982,2.28274,0.000512268,0.000512268,0.000512268
164,368.821,0.6503,0.52831,0.95421,0.68395,0.34769,0.35761,0.17721,2.49675,2.15999,2.36819,0.000506609,0.000506609,0.000506609
165,370.98,0.65633,0.5288,0.97509,0.70162,0.36021,0.39649,0.22603,2.38701,2.08096,2.30588,0.00050095,0.00050095,0.00050095
166,373.091,0.68297,0.51508,0.96275,0.61812,0.3559,0.37931,0.19246,2.55337,2.18915,2.43506,0.000495291,0.000495291,0.000495291
167,375.284,0.59737,0.47815,0.93251,0.59213,0.4992,0.48072,0.23023,2.48381,1.88192,2.32232,0.000489633,0.000489633,0.000489633
168,377.446,0.64324,0.51756,0.97023,0.5464,0.53805,0.49699,0.22282,2.46632,1.83315,2.3721,0.000483974,0.000483974,0.000483974
169,379.58,0.63942,0.48876,0.93485,0.61304,0.39553,0.43472,0.24618,2.362,1.77474,2.28218,0.000478315,0.000478315,0.000478315
170,381.73,0.63368,0.50573,0.93672,0.66459,0.40829,0.42612,0.2294,2.39696,1.97376,2.26153,0.000472656,0.000472656,0.000472656
171,383.859,0.6474,0.51136,0.9617,0.68213,0.4647,0.4802,0.23651,2.3163,1.90933,2.20405,0.000466997,0.000466997,0.000466997
172,386.016,0.65575,0.50234,0.94813,0.7532,0.44527,0.44448,0.21528,2.44169,1.94711,2.25886,0.000461338,0.000461338,0.000461338
173,388.179,0.62809,0.47547,0.95883,0.6396,0.50399,0.46643,0.23173,2.35649,1.89725,2.22429,0.00045568,0.00045568,0.00045568
174,390.315,0.65501,0.47854,0.95558,0.72446,0.46728,0.48491,0.24279,2.34324,1.79216,2.14414,0.000450021,0.000450021,0.000450021
175,392.462,0.60513,0.46323,0.93888,0.78528,0.53042,0.56896,0.25804,2.34453,1.6571,2.11439,0.000444362,0.000444362,0.000444362
176,394.648,0.64912,0.52141,0.95813,0.88967,0.48265,0.52683,0.23974,2.40433,1.75195,2.25722,0.000438703,0.000438703,0.000438703
177,396.814,0.66455,0.51284,0.9578,0.91162,0.48167,0.52483,0.24342,2.42693,1.64972,2.29279,0.000433044,0.000433044,0.000433044
178,399.081,0.6092,0.49062,0.93417,0.81751,0.48192,0.50975,0.23499,2.47466,1.68318,2.36176,0.000427385,0.000427385,0.000427385
179,401.221,0.6492,0.5095,0.96386,0.79478,0.48644,0.50094,0.22374,2.46153,1.7149,2.37989,0.000421726,0.000421726,0.000421726
180,403.414,0.68048,0.54883,0.97361,0.532,0.40379,0.35701,0.17667,2.54806,2.07764,2.50061,0.000416068,0.000416068,0.000416068
181,405.623,0.62337,0.51554,0.94011,0.62568,0.41308,0.39077,0.17868,2.6043,2.04045,2.60721,0.000410409,0.000410409,0.000410409
182,407.775,0.62657,0.47748,0.93543,0.70591,0.50399,0.49287,0.19813,2.60991,1.66792,2.52743,0.00040475,0.00040475,0.00040475
183,409.912,0.60682,0.50841,0.94288,0.71289,0.54408,0.53804,0.21196,2.61937,1.56501,2.51704,0.000399091,0.000399091,0.000399091
184,412.052,0.6525,0.49597,0.96335,0.74175,0.48638,0.49622,0.22134,2.56414,1.57389,2.39086,0.000393432,0.000393432,0.000393432
